,abstract,date,pmid,title
889,"we previously reported that grape skin ethanol extract (gse) decreases adipogenic transcription factor gene expression, inhibiting triglyceride accumulation in 3t3 l1 adipocytes. in this study, we hypothesized that gse may induce differential expression profiles in adipocytes, thus providing protection against obesity. thirty five genes involved in the peroxisome proliferator activated receptor γ (pparγ) signaling pathway, lipid metabolism, or adipogenesis were identified through microarray analysis of adipocytes treated with gse. expression of the genes involved in pparγ signaling, adipoq, scd1, nr1h3, fabp5, scd2, and pparg decreased with gse treatment, whereas expression of ppargc1a increased. lipid metabolism associated genes mlxp1, stat5a, hsl, plin1, and vdr were down regulated. interestingly, gse also affected expression of genes related to the mitogen activated protein kinases pathway. gse extract treatment decreased expression of ap2, fas, and tnfa, known markers of adipogenesis, as measured by real time polymerase reaction. these findings demonstrate the antiadipogenic effects of gse on 3t3 l1 adipocytes at the genetic level, primarily on the pparγ signaling pathway.",2012,22901559,Grape skin extract reduces adipogenesis- and lipogenesis-related gene expression in 3T3-L1 adipocytes through the peroxisome proliferator-activated receptor-γ signaling pathway.
890,"in use testing of the disinfectants; hibitane (5% w/v chlorhexidinegluconate), hibiscrub (4% w/v chlorhexidinegluconate), savlon (3% w/v chlorhexidine/cetrimide), hydrogen peroxide (6% w/v hydrogen peroxide with stabilizer) and a common household bleach jik (3.5% w/v sodium hypochlorite), was carried out over a two month period at a university teaching hospital in nigeria. contamination levels were high with 82 (63.1%) of the 130 in use disinfectants contaminated. however, a few of the stock solutions remained sterile. one hundred and thirty four isolates were obtained of which 120 (91%) were gram negative with pseudomonas species being the commonest, constituting 67.2% of all the isolates. gram positive organisms made up the remaining 12 (9.0%) isolates. all the pseudomonas spp. were resistant to gentamicin, ceftazidime, nalidixic acid and perfloxacin. contributory factors for the high contamination levels were dilution of disinfectants with tap water, inadequate care of stock solution bottles and long storage of the diluted disinfectants in the wards.",2002,12518903,"Contamination levels of in-use disinfectants in a teaching hospital in Lagos, Nigeria."
891,"pituitary derived trophic hormones regulate cell type specific expression of vl30 retrotransposons in tissues that are engaged in steroidogenesis. we show that adrenocorticotropic hormone and forskolin induced vl30 transcription in the steroidogenic adrenal cell line y1 and that the transcriptional activation was cell type  and protein kinase a dependent. three novel camp responsive elements (cres), within the vl30 long terminal repeat, were identified and shown to activate transcription synergistically when templates bearing multiple sites were compared with templates bearing a single site. this type of regulation was evident only in forskolin treated cells, and the response elements were found to be inactive as mediators of constitutive transcription. in vitro binding analyses indicated that a consensus cre and the nonconsensus vl30 cres differ with respect to binding affinity and specificity to a number of nuclear factors that were identified to be related to proteins within the creb, jun, and c/ebp families of transcription factors. the relatively low affinity and/or a restricted binding specificity of the vl30 cres made it possible to detect forskolin induced binding of creb  and jun related proteins to these sequences. we suggest that camp induced transcription, specific for steroidogenic cells, can be mediated by a novel type of nonconsensus cres and that the mechanism for this type of gene regulation is distinct from that mediated through a consensus cre. we also report the identification of a novel factor, distinct from previously characterized cre binding proteins, that constitutively binds to the identified cres.",1993,8382684,Cooperating nonconsensus cAMP-responsive elements are mediators of adrenocorticotropin-induced VL30 transcription in steroidogenic adrenal cells.
892,"obesity is a state of chronic low grade inflammation. limiting white adipose tissue (wat) expansion and therefore reducing inflammation could be effective in preventing the progression of obesity and the development of associated complications. we investigated the effects of 1,2 vinyldithiin (1,2 dt), a garlic derived organosulfur, on the differentiation and inflammatory state of human preadipocytes. preadipocytes were prepared from subcutaneous adipose tissue of nonobese young women and differentiated in the presence of 1,2 dt. inflammatory preadipocytes were obtained following treatment with human macrophage secreted factors. 1,2 dt (100 micromol/l) significantly reduced gene expression of ppargamma2 ( 40%), ccaat/enhancer binding protein alpha ( 25%), lipoprotein lipase ( 22%), leptin ( 30%), and adiponectin ( 15%). lipid accumulation was also significantly diminished in preadipocytes differentiated in the presence of 100 micromol/l 1,2 dt ( 37%) compared with controls. furthermore, 100 micromol/l 1,2 dt treatment for 10 d significantly reduced ppargamma activity ( 27%). the protein expression of perilipin and the secretion levels for 2 adipokines, leptin and adiponectin, were significantly diminished in 1,2 dt cultured preadipocytes ( 37,  51, and  43%, respectively). moreover, the secretion of inflammatory molecules (interleukin 6 and monocyte chemoattractant protein 1) induced by macrophage secreted factors was partially abolished in 100 micromol/l 1,2 dt treated preadipocytes ( 28 and  25%, respectively). in conclusion, we demonstrated that 1,2 dt, a garlic derived organosulfur, has antiadipogenic and antiinflammatory actions on human preadipocytes and may be a novel, antiobesity nutraceutical.",2009,19759245,"1,2-vinyldithiin from garlic inhibits differentiation and inflammation of human preadipocytes."
893,"previous studies suggest that nitric oxide (no) is involved in headaches induced by i.v. infusion of the vasodilator and no donor glyceryl trinitrate (gtn) in healthy subjects. extending these studies to sufferers of migraine without aura, it was found that migraineurs experienced a stronger headache than non migraineurs. in addition, most migraineurs experienced a delayed migraine attack at variable times (mean 5.5 h) after gtn provocation. this biphasic headache response in migraineurs may be linked to hypersensitivity in the no cgmp pathway. thus, compared to controls, migraineurs were found to be more sensitive to gtn induced intracranial arterial dilatation, which is known to be mediated via liberation of no and subsequent synthesis of cgmp furthermore, histamine infusions in migraineurs induced headache responses and intracranial arterial responses resembling those induced by gtn in migraineurs. histamine is known to liberate no from the endothelium via stimulation of the h1 receptor, which is present in the large intracranial arteries in man. because both immediate histamine induced headache and intracranial arterial dilatation and delayed histamine induced migraine are blocked by h1 receptor blockade, a likely common pathway for gtn and histamine induced headaches/migraines and intracranial arterial responses may be via activation of the no cgmp pathway. the delay in the development of these experimental migraines may reflect activation of multiple physiological processes. the intracranial arteries of migraineurs were found supersensitive to the vasodilating effect of gtn (exogenous no). this relates to clinical findings suggesting dilatation of the large intracranial arteries on the headache side during spontaneous migraine attacks. the function of arterial regulatory mechanisms involving no in migraine was therefore studied. in peripheral arteries, no endothelial dysfunction of no was found and cardiovascular and intracranial arterial sympathetic function was normal. a mild parasympathetic dysfunction may be involved and may, via denervation supersensitivity, be responsible for the observed supersensitivity to no. another possibility is that no initiates a perivascular neurogenic inflammation with liberation of vasoactive peptides. no also mediates a variety of other physiological phenomena. one of these, the pain modulating effect observed in animals, was evaluated in a human study using gtn infusion and measurements of pain thresholds. no definite effects of gtn were demonstrated. the precise mechanisms involved in no triggered migraines and which part of the no activated cascade that is involved remain to be determined. the possibilities for pharmacological stimulation and/or inhibition of several steps of the no activated cascade increase rapidly and soon may be available for human studies.",1997,9453277,Investigations into the role of nitric oxide and the large intracranial arteries in migraine headache.
894,"the antihistamine methapyrilene (hydrochloride) and four close structural analogs, methaphenilene, methafurylene, thenyldiamine and clorothen, were given to rats at a concentration of 0.1% in drinking water for 34 weeks. only methapyrilene produced notable histopathological changes in the liver, bile duct hyperplasia and focal cellular change. methapyrilene produced an early and persistent elevation in the ratio of s adenosylmethionine to s adenosylhomocysteine, which was 2.8 times the control levels at 34 weeks; none of the other antihistamines produced so high a ratio or altered the ratio as early. methapyrilene, but not the other antihistamines, produced a significant increase in the methylation of liver dna at 20 and 34 weeks, as measured by the level of 5 methyldeoxycytidine. the increase in deoxycytosine methylation is so far the only detected effect of the carcinogen methapyrilene on dna which is absent in rats treated with its non carcinogenic analogs.",1989,2924400,"S-adenosylmethionine, S-adenosylhomocysteine and DNA methylation levels in the liver of rats fed methapyrilene and analogs."
895,"the tetradecapeptide containing the 10 aminoacid repeated sequence on the c terminus of the ni(ii) induced cap43 protein, was analyzed for ni(ii) and cu(ii) binding. a combined ph metric and spectroscopic uv vis, epr, cd and nmr study of ni(ii) and cu(ii) binding to the blocked ch3co thr arg ser arg ser his thr ser glu gly thr arg ser arg nh2 (ac trsrshtsegtrsr am) peptide, modeling a part of the c terminal sequence of the cap43 protein, revealed the formation of octahedral complexes involving imidazole nitrogen of histidine, at ph 5.5 and ph 7 for cu(ii) and ni(ii), respectively; a major square planar 4n ni(ii) complex (about 100% at ph 9, log k* =  28.16) involving imidazole nitrogen of histidine and three deprotonated amide nitrogens of the backbone of the peptide was revealed; a 3n cu(ii) complex (maximum about 70% at ph 7, log k*= 13.91) and a series of 4n cu(ii) complexes starting at ph 5.5 (maximum about 90% at ph 8.7, log k* =  21.39 for cuh( 3)l), were revealed. this work supports the existence of a metal binding site at the cooh terminal part of the cap43 peptide.",2001,11330481,"Ni(II) and Cu(II) binding with a 14-aminoacid sequence of Cap43 protein, TRSRSHTSEGTRSR."
896,"hepatotoxicity induced by the metabolic activation of drugs is a major concern in drug discovery and development. three dimensional (3 d) cultures of hepatocyte spheroids may be superior to monolayer cultures for evaluating drug metabolism and toxicity because hepatocytes in spheroids maintain the expression of various metabolizing enzymes and transporters, such as cytochrome p450 (cyp). in this study, we examined the hepatotoxicity due to metabolic activation of acetaminophen (apap) using fluorescent indicators of cell viability and intracellular levels of glutathione (gsh) in rat hepatocyte spheroids grown on micro space cell culture plates. the mrna expression levels of some drug metabolizing enzymes were maintained during culture. additionally, this culture system was compatible with microfluorometric imaging under confocal laser scanning microscopy. apap induced a decrease in intracellular atp at 10mm, which was blocked by the cyp inhibitor 1 aminobenzotriazole (abt). apap (10mm, 24h) decreased the levels of both intracellular atp and gsh, and gsh conjugated apap (apap gsh) were formed. all three effects were blocked by abt, confirming a contribution of apap metabolic activation by cyp to spheroid toxicity. fluorometric imaging of hepatocyte spheroids on micro space cell culture plates may allow the screening of drug induced hepatotoxicity during pharmaceutical development. ",2014,24878114,Fluorometric assessment of acetaminophen-induced toxicity in rat hepatocyte spheroids seeded on micro-space cell culture plates.
897,"the mechanisms by which protein kinase c (pkc) and extracellular signal regulated kinases (erk1/2) govern smooth muscle contractility remain unclear. calponin (cap), an actin binding protein and pkc substrate, mediates signaling through erk1/2. we report here that cap sequences containing the cap homology (ch) domain bind to the c terminal 251 amino acids of smooth muscle archvillin (smav), a new splice variant of supervillin, which is a known actin  and myosin ii binding protein. the cap smav interaction is demonstrated by reciprocal yeast two hybrid and blot overlay assays and by colocalization in cos 7 cells. in differentiated smooth muscle, endogenous smav and cap co fractionate and co translocate to the cell cortex after stimulation by agonist. antisense knockdown of smav in tissue inhibits both the activation of erk1/2 and contractions stimulated by either agonist or pkc activation. this erk1/2 signaling and contractile defect is similar to that observed in cap knockdown experiments. in a7r5 smooth muscle cells, pkc activation by phorbol esters induces the reorganization of endogenous, membrane localized smav and microfilament associated cap into podosome like structures that also contain f actin, nonmuscle myosin iib and erk1/2. these results indicate that smav contributes to the regulation of contractility through a cap mediated signaling pathway, involving pkc activation and phosphorylation of erk1/2.",2004,15383618,Smooth muscle archvillin: a novel regulator of signaling and contractility in vascular smooth muscle.
898,"ps (presenilin) dependent gamma secretase occurs as a high molecular mass complex composed of either ps1 or ps2 associated with nct (nicastrin), pen2 (presenilin enhancer 2 homologue) and aph1 (anterior pharynx defective 1 homologue). numerous reports have documented the very complicated physical and functional cross talk between these proteins that ultimately governs the biological activity of the gamma secretase, but very few studies examined the fate of the components of the complex. we show that, in both hek 293 cells and the tsm1 neuronal cell line, the immunoreactivities of overexpressed myc tagged aph1a and  pen2 were enhanced by the proteasome inhibitors zie and lactacystin, whereas a broad range of protease inhibitors had no effect. by contrast, proteasome inhibitors were totally unable to affect the cellular expression of endogenous aph1al and pen2 in hek 293 cells, tsm1 and primary cultured cortical neurons. to explain this apparent discrepancy, we examined the degradation of myc tagged aph1a and  pen2, in vitro, by cell extracts containing endogenous proteasome and by purified 20s proteasome. strikingly, myc tagged aph1a and  pen2 resist proteolysis by endogenous proteasome and purified 20s proteasome. we also show that endogenous pen2 expression was drastically higher in wild type than in ps  and nct deficient fibroblasts and was enhanced by proteasome inhibitors only in the two deficient cell systems. however, here again, purified 20s proteasome appeared unable to cleave endogenous pen2 present in ps deficient fibroblasts. the levels of endogenous aph1al like immunoreactivity were not modified by proteasome inhibitors and were unaffected by ps deficiency. altogether, our results indicate that endogenous pen2 and aph1al do not undergo proteasomal degradation under physiological conditions in hek 293 cells, tsm1 cells and fibroblasts and that the clearance of pen2 in ps  and nct deficient fibroblasts is not mediated by 20s proteasome. whether the 26s proteasome participates to pen2 proteolysis in deficient fibroblasts remains to be established.",2006,16302845,Catabolism of endogenous and overexpressed APH1a and PEN2: evidence for artifactual involvement of the proteasome in the degradation of overexpressed proteins.
899,,1994,7991687,Purification and characterization of two ferredoxin-NADP+ oxidoreductase isoforms from the first foliage leaves of mung bean (Vigna radiata) seedlings.
900,"rna helicases are involved in almost every aspect of rna, from transcription to rna decay. dexd/h box helicases comprise the largest sf2 helicase superfamily, which are characterized by two conserved reca like domains. in recent years, an increasing number of unexpected functions of these proteins have been discovered. they play important roles not only in innate immune response but also in diseases like cancers and chronic hepatitis c. in this review, we summarize the recent literatures on one member of the sf2 superfamily, the dead box protein ddx41. after bacterial or viral infection, dna or cyclic di gmp is released to cells. after phosphorylation of tyr414 by btk kinase, ddx41 will act as a sensor to recognize the invaders, followed by induction of type i interferons (ifn). after the immune response, ddx41 is degraded by the e3 ligase trim21, using lys9 and lys115 of ddx41 as the ubiquitination sites. besides the roles in innate immunity, ddx41 is also related to diseases. an increasing number of both inherited and acquired mutations in ddx41 gene are identified from myelodysplastic syndrome and/or acute myeloid leukemia (mds/aml) patients. the review focuses on ddx41, as well as its homolog abstrakt in drosophila, which is important for survival at all stages throughout the life cycle of the fly.",2017,27502187,The emerging roles of the DDX41 protein in immunity and diseases.
901,"a possible role of the nitric oxide (no)/cgmp pathway in the regulation of ca2+ entry into ht29/b6 human colonic epithelial cells was investigated using digital image processing of fura 2 fluorescence and immunoblotting for nitric oxide synthase (nos). we tested the hypothesis that ca2+ store depletion causes increased nos activity and [no], which is stimulatory to ca2+ entry by increasing guanylate cyclase (gc) and [cgmp]. cells were incubated in 95 mm k(+) containing solutions to depolarize the cell membrane potential and thereby exclude effects of no and cgmp on k+ or cl  channels, which might affect ca2+ entry. sodium nitroprusside (snp, 0.5 microm and 30 microm), a no donor, only slightly raised intracellular [ca2+] ([ca2+]i) in resting cells, but in 100 microm carbachol stimulated cells the sustained, elevated ca2+ plateau (reflecting ca2+ entry) as well as ba2+ entry were increased by 0.5 microm snp, while 5, 10 or 30 microm snp either had no effect or were inhibitory. pretreatment of cells with the nos inhibitor n nitro l arginine (1 mm) reduced carbachol stimulated ca2+ entry, and simultaneous treatment with 0.5 microm (but not 30 microm) snp restored ca2+ influx. 8 br cgmp (1 mm) had little effect on [ca2+]i or on rates of ca2+ or ba2+ influx into resting cells, but there were large effects on cells in which capacitative ca2+ entry was activated by carbachol or cyclopiazonic acid (10 microm). the gc inhibitor ly83583 (10 microm) reduced carbachol stimulated ca2+ entry, and this entry was restored with 8 br cgmp. western blotting revealed that endothelial type nos was present in the particulate fraction of cells. the data are consistent with the notion that ca2+ entry into ht29/b6 cells is regulated by endothelial nos/no and gc/cgmp, but effects are most pronounced in store depleted cells. thus, no and cgmp appear to potentiate the action of messengers released from the store during the emptying process, but no and cgmp have only small effects of their own to open the ca2+ channel in the plasma membrane. high [snp] appeared to be inhibitory while low [snp] was stimulatory, indicating that a precise range of [no] may be required for effective stimulation of ca2+ entry.",1995,7545090,Possible regulation of capacitative Ca2+ entry into colonic epithelial cells by NO and cGMP.
902,"epidermal differentiation and stratification, crucial for barrier formation, are regulated by a complex interplay of transcription factors, including the evolutionarily conserved grainyhead like 3 (grhl3/get1); grhl3 deleted mice exhibit impaired epidermal differentiation and decreased expression of multiple differentiation genes. to test whether grhl3 regulates epidermal genes indirectly by controlling the expression of specific micrornas (mirs), we performed mir profiling and identified 11 mirs that are differentially regulated in grhl3( / ) skin, one of which is mir 21, previously shown to be upregulated in diseased skin, including in psoriasis and squamous cell skin cancer. we found that mir 21 is normally expressed in the post mitotic suprabasal layers of the epidermis, overlapping with grhl3. the mir 21 promoter is bound and repressed by grhl3 indicating that these two factors are involved in a regulatory loop maintaining homeostasis in the epidermis. although mir 21 overexpression in normal keratinocytes had mild effects on the expression of several known mir 21 targets, an enhanced downregulation of the mir 21 tumor related targets, including msh2, was observed in ras transformed keratinocytes. the increased sensitivity of transformed keratinocytes to mir 21's effects occurs in part through downregulation of the rna binding protein dnd1 during the transformation process. additionally, we observed increased tumorigenesis in mice subcutaneously injected with transformed keratinocytes lacking grhl3. these findings indicate that decreased grhl3 expression contributes to tumor progression and upregulation of the oncomir mir 21 in squamous cell carcinoma of the skin.",2013,22614019,The Grainyhead transcription factor Grhl3/Get1 suppresses miR-21 expression and tumorigenesis in skin: modulation of the miR-21 target MSH2 by RNA-binding protein DND1.
903,"several key proteins have been localized to junctional sarcoplasmic reticulum which are important for ca2+ release. these include the ryanodine receptor, triadin, and calsequestrin, which may associate into a stable complex at the junctional membrane. we recently purified and cloned a fourth component of this complex, junctin, which exhibits homology with triadin and is the major 125i calsequestrin binding protein detected in cardiac sarcoplasmic reticulum vesicles (jones, l. r., zhang, l., sanborn, k., jorgensen, a. o., and kelley, j. (1995) j. biol. chem. 270, 30787 30796). in the present study, we have examined the binding interactions between the cardiac forms of these four proteins with emphasis placed on the role of junctin. by a combination of approaches including calsequestrin affinity chromatography, filter overlay, immunoprecipitation assays, and fusion protein binding analyses, we find that junctin binds directly to calsequestrin, triadin, and the ryanodine receptor. this binding interaction is localized to the lumenal domain of junctin, which is highly enriched in charged amino acids organized into ""keke"" motifs. keke repeats are also found in the common lumenal domain of triadin, which likewise is capable of binding to calsequestrin and the ryanodine receptor (guo, w., and campbell, k. p. (1995) j. biol. chem. 270, 9027 9030). it appears that junctin and triadin interact directly in the junctional sarcoplasmic reticulum membrane and stabilize a complex that anchors calsequestrin to the ryanodine receptor. taken together, these results suggest that junctin, calsequestrin, triadin, and the ryanodine receptor form a quaternary complex that may be required for normal operation of ca2+ release.",1997,9287354,"Complex formation between junctin, triadin, calsequestrin, and the ryanodine receptor. Proteins of the cardiac junctional sarcoplasmic reticulum membrane."
904,"oxidative stress plays a key role in the patho physiology of hypertension. ( ) epicatechin has many important biological properties.
the present study was undertaken to evaluate effect of ( ) epicatechin on protein carbonyl content in gender based hypertensive patients and normal subjects.
the study was carried out on 83 normal (male: 42; female: 41) and 62 hypertensive subjects (male: 32; female: 30). in vitro effect on ( ) epicatechin and l ascorbic acid was estimated on protein carbonyl content.
result showed a significant (p < 0.001) increase in protein carbonyl content in hypertensive patients but no gender based difference was observed. ( ) epicatechin shows significant (p < 0.001) dose dependent effect as compared to l ascorbic acid, which is manifested as decrease in protein carbonyl content.
we hypothesizes that a higher intake of ( ) epicatechin may provide protection against hypertension in males and females.",2016,26939969,(-)-Epicatechin in vitro ameliorates erythrocyte protein carbonyl content in hypertensive patients: comparison with L-ascorbic acid.
905,"shiftwork induced sleep deprivation and circadian disruption probably leads to an increase in the production of cytokines and dysregulation of innate immune system, respectively. this project aims evaluating changes in salivary il 1 beta, cortisol, and melatonin in night workers. method. two day and three night healthy workers participated in this study. sleep was evaluated by actimetry and activity protocols. saliva was collected at waking and bedtime the last workday and the following two days off and was analyzed by elisa. results. neither sleep duration nor efficiency showed any association with salivary il 1beta. il 1beta levels were higher at waking than at bedtime during working days for all workers, but only one day and one night worker maintained this pattern and hormone rhythms during days off. for this night worker, melatonin levels were shifted to daytime. a second one presented clear alterations in il 1beta and hormone rhythms on days off. conclusions. our preliminary results suggest that night work can disturb the variation pattern of salivary il 1beta. no association of this variation with sleep was observed. it seems that disruption in hormone rhythms interfere with salivary il 1beta production. il  1beta production pattern seems to be maintained when rhythms are present, in spite of a shift in melatonin secretion.",2012,22317688,"Daily rhythm of salivary IL-1ß, cortisol and melatonin in day and night workers."
906,,1965,14311612,EFFECT OF COENZYMES ON THE HYDROGEN-DEUTERIUM EXCHANGE OF CHICKEN HEART LACTIC DEHYDROGENASE AS MEASURED BY INFRARED SPECTROPHOTOMETRY.
907,"enamel formation requires rigid control of ph homeostasis during all stages of development to prevent disruptions to crystal growth. the acceleration of the generation of bicarbonate by carbonic anhydrases (ca) has been suggested as one of the pathways used by ameloblasts cells to regulate extracellular ph yet only two isozymes (ca ii and ca vi) have been reported to date during enamel formation. the mammalian ca family contains 16 different isoforms of which 13 are enzymatically active. we have conducted a systematic screening by rt pcr on the expression of all known ca isoforms in mouse enamel organ epithelium (eoe) cells dissected from new born, in secretory ameloblasts derived from 7 day old animals, and in the ls8 ameloblast cell line. results show that all ca isoforms are expressed by eoe/ameloblast cells in vivo. the most highly expressed are the catalytic isozymes ca ii, vi, ix, and xiii, and the acatalytic ca xi isoform. only minor differences were found in ca expression levels between 1 day eoe cells and 7 day old secretory stage ameloblasts, whereas ls8 cells expressed fewer ca isoforms than both of these. the broad expression of cas by ameloblasts reported here contributes to our understanding of ph homeostasis during enamel development and demonstrates its complexity. our results also highlight the critical role that regulation of ph plays during the development of enamel.",2010,20175995,A survey of carbonic anhydrase mRNA expression in enamel cells.
908,"this work describes a new electrochemical sensor for hydrogen peroxide based on tin pentacyanonitrosylferrate (snpcnf) modified carbon ceramic electrode (cce). the modified electrode was constructed by using a sol gel technique involving two steps: construction of cce containing metallic tin (sn) powder and then electrochemical creation of snpcnf film on the surface of cce. the modified electrode was characterized by energy dispersive x ray, fourier transform infrared, scanning electron microscopy, and cyclic voltammetry (cv) techniques. the charge transfer coefficient (alpha) and charge transfer rate constant (k(s)) for the modifying film were calculated. the electrocatalytic activity of the modified electrode toward the reduction of hydrogen peroxide was studied by cv and chronoamperometry. a linear calibration curve was obtained over the hydrogen peroxide concentration range of 0.5 to 69.4 microm using a hydrodynamic amperometric technique. the limit of detection (for a signal to noise ratio of 3) and sensitivity were found to be 92 nm and 0.89 microa/microm, respectively. furthermore, the diffusion coefficient of hydrogen peroxide (d) and catalytic rate constant (k(cat)) were calculated.",2009,19500556,Nanomolar detection of hydrogen peroxide at a new polynuclear cluster of tin pentacyanonitrosylferrate nanoparticle-modified carbon ceramic electrode.
909,"surgical samples of human prostate were explanted and submitted to constant flow organ culture. the medium contained 3h testosterone 50 nm, and except for controls, increasing concentrations of human serum albumin (hsa) or human sex steroid binding plasma protein (sbp). at steady state, the explants were washed and homogenized, and the total radioactivity, radioactive testosterone, androstanolone (17 beta hydroxyandrostan 3 one), androstane 3 alpha, 17 beta diol, and androstane 3 beta, 17 beta diol were determined after the addition of the corresponding internal 14c standards. from these data, testosterone uptake and metabolism were quantitated. the concentration of unbound testosterone in protein supplemented culture media was measured separately by equilibrium dialysis. in control superfusions without protein, the tissue concentration of total radioactive steroids was equivalent to 182 +/  18 (mean +/  sem) pmoles/g of prostate. androstanolone represented about 2/3, testosterone 1/10, and the two androstanediols together 1/10 of the total radioactivity. no difference was found between ""normal"" and hyperplastic prostate explants. in experiments with hsa (15 176 mum), is was observed that the uptake of radioactive testosterone in the prostate explants was decreased in direct proportion to the unbound testosterone fraction of the superfusion medium, but the proportions of testosterone metabolities in the superfused explants remained the same. in experiments with sbp (6 135 nm), the concentrations of unbound testosterone in the superfusion medium were reduced to the same levels as in the experiments with hsa. the reduction of tissue radioactivity was somewhat larger than that expected from the reduction of unbound testosterone in the superfusion medium for the concentrations of sbp less than 50 nm, and then remained approximately constant. in addition, sbp altered the metabolism of testosterone: the androstanolone/testosterone ratio in the prostate explants was critically dependent upon the sbp concentration in the superfusion medium. it is therefore suggested that, independent of its effect on the binding of testosterone, sbp has a direct effect on testosterone uptake and metabolism by the human prostate. the underlying mechanism is unknown.",1976,59732,"Influence of purified plasma proteins on testosterone uptake and metabolism by normal and hyperplastic human prostate in ""constant-flow organ culture""."
910,"the villin headpiece folds autonomously in vitro forming three alpha helical regions. local propensities, however, strongly disfavor the formation of the c terminal helix because most native residue pairs in that helix are hydrophobic/polar mismatches. even the n terminal helix is unfavored according to the agadir criterion. our coarse grained ab initio simulations reveal three body correlations in which hydrophobic residues position to protect amide carbonyl hydrogen bonds from attack by water, thus inducing the growth of the c terminal helix and guiding the folding process. similar correlations are also found in all atom simulations with an implicit solvent model that accurately reproduces the results of simulations with explicit solvent molecules. the correlations establish a large scale, many body context that may be probed experimentally by introducing mutations of certain nonobvious residues that reside outside the native hydrophobic core but that are predicted to affect the folding rates and dynamics dramatically.",2003,12534278,Large-scale context in protein folding: villin headpiece.
911,"two experiments were conducted to evaluate the response of sows to high levels of dietary riboflavin. responses evaluated were erythrocyte glutathione reductase activity coefficient (egrac, a biochemical indicator of riboflavin status) and reproductive performance. in exp. 1, eight sows were fed diets either slightly deficient or superadequate in riboflavin throughout a reproductive cycle, beginning in midgestation. the egrac values confirmed the slight deficiency (p < .01) but did not clearly show a time when the sow is most likely to be deficient in riboflavin. in exp. 2, 118 sows at two farms were fed diets providing 10 (control, 1.4 times the nrc [1988] requirement estimate), 60, 110, or 160 mg of riboflavin/d for 21 d beginning at breeding, and the control level through the remainder of the reproductive cycle. the percentage of sows farrowing tended to be lower (p < .10) for the control sows than for sows fed the other treatments (66.7, 85.7, 93.3, and 86.7% for 10, 60, 110, and 160 mg/d, respectively). this response is similar to other results reported previously. no other measure of reproductive performance nor egrac measured at any of five stages of the reproductive cycle, was affected by treatment. these results suggest that massive riboflavin supplementation of the sows' diet during early pregnancy may increase the percentage of farrowing but does no increase litter size.",1996,8880426,Riboflavin nutrition of sows.
912,"expression of the proto oncogenes c fos and c jun was analysed in the insulin producing rat tumor cell line, rin 5ah. addition of fetal calf serum (fcs) to serum starved cells in the presence of cycloheximid induced a modest increase in c fos and c jun mrna levels, whereas growth hormone (gh) in the presence of cycloheximid had little or no effect, when added to rin 5ah cells maintained in 0.5% fcs for 2 days prior to stimulation. activation of protein kinase c by phorbol ester lead to increased c jun and c fos mrna levels, whereas activation of adenylate cyclase by forskolin increased c fos mrna levels. these results suggest that the effects of gh on insulin producing cells are not mediated by activation of c fos and c jun transcription.",1990,2129102,Effect of growth hormone and serum on the expression of the proto-oncogenes c-jun and c-fos in insulin producing cells.
913,"our previous studies with the use of non selective cyclooxygenase (cox) inhibitor, indomethacin, demonstrated that prostanoids produced during endotoxaemia increase inducible nitric oxide synthase (inos) protein expression and nitric oxide synthesis, and decrease cyctochrome p450 (cyp) 4a1 protein expression and cyp 4a activity. the results suggest that dual inhibition of inos and cox by indomethacin restores blood pressure presumably due to increased production of 20 hydroxyeicosatetraenoic acid (20 hete) derived from cyp 4a in endotoxaemic rats. the present study examined whether increased levels of vasoconstrictor eicosanoids, 20 hete, prostaglandin f(2α) (pgf(2α) )and thromboxane a(2) (txa(2) ), would contribute to the effect of selective cox 2 inhibition to prevent endotoxin (et) induced fall in blood pressure associated with an increase in the production of vasodilator prostanoids, prostaglandin i(2) (pgi(2) ) and prostaglandin e(2) (pge(2) ) and nitric oxide synthesis. mean arterial blood pressure fell by 31 mmhg and heart rate (hr) rose by 90 beats/min. in male wistar rats treated with et (10 mg/kg, i.p.). the fall in mean arterial pressure and increase in hr were associated with increased levels of 6 keto prostaglandin f(1α) (6 keto pgf(1α) ), pge(2) , txb(2) , and nitrite in the serum, kidney, heart, thoracic aorta and/or superior mesenteric artery. systemic and renal 20 hete and pgf(2α) levels were also decreased in endotoxaemic rats. these effects of et were prevented by a selective cox 2 inhibitor, n (2 cyclohexyloxy 4 nitrophenyl)methansulphonamide (10 mg/kg, i.p.), given 1 hr after injection of et. these data suggest that an increase in 20 hete and pgf(2α) levels associated with decreased production of pgi(2) , pge(2) , and txa(2) , and nitric oxide synthesis contributes to the effect of selective cox 2 inhibitor to prevent the hypotension during rat endotoxaemia.",2010,22545970,"Contribution of vasoactive eicosanoids and nitric oxide production to the effect of selective cyclooxygenase-2 inhibitor, NS-398, on endotoxin-induced hypotension in rats."
